network,station,channel,dt_on,dt_off,dt_peak,peak,unit,fs,delta,npts,STA,LTA,on,off
XH,DR01,HHZ,2014-12-02 07:47:16.600,2014-12-02 07:47:35.960,2014-12-02 07:47:16.660,-8.76306880485e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR01,HHZ,2014-12-02 10:22:40.860,2014-12-02 10:22:45.120,2014-12-02 10:22:41.200,-3.64752834315e-07,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR01,HHZ,2014-12-02 23:08:36.520,2014-12-02 23:08:38.880,2014-12-02 23:08:36.540,3.03410959661e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR02,HHZ,2014-12-02 02:53:44.760,2014-12-02 02:53:48.100,2014-12-02 02:53:45.220,5.07694522045e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR02,HHZ,2014-12-02 07:47:14.380,2014-12-02 07:47:19.340,2014-12-02 07:47:15.020,6.43715110655e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR02,HHZ,2014-12-02 07:47:20.780,2014-12-02 07:47:27.360,2014-12-02 07:47:23.580,-4.91025451796e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR02,HHZ,2014-12-02 08:01:07.020,2014-12-02 08:01:41.480,2014-12-02 08:01:11.480,-7.71895055413e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR02,HHZ,2014-12-02 15:30:11.880,2014-12-02 15:30:16.780,2014-12-02 15:30:12.980,-3.71464570026e-07,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR02,HHZ,2014-12-02 19:39:35.600,2014-12-02 19:39:39.700,2014-12-02 19:39:36.260,1.06129738752e-07,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR03,HHZ,2014-12-02 01:59:27.720,2014-12-02 01:59:37.740,2014-12-02 01:59:28.940,1.69506665354e-06,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR04,HHZ,2014-12-02 07:47:19.080,2014-12-02 07:47:44.960,2014-12-02 07:47:22.900,6.59167985462e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR05,HHZ,2014-12-02 07:47:23.720,2014-12-02 07:47:54.100,2014-12-02 07:47:25.800,-5.26585623568e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR06,HHZ,2014-12-02 07:47:26.220,2014-12-02 07:47:58.060,2014-12-02 07:47:28.280,-3.97060122929e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR07,HHZ,2014-12-02 05:23:31.500,2014-12-02 05:23:41.780,2014-12-02 05:23:36.420,-8.36416032285e-09,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR07,HHZ,2014-12-02 07:47:28.900,2014-12-02 07:48:11.720,2014-12-02 07:47:31.820,1.89455122146e-08,acc,50.0,0.02,4329001,,,8.0,4.0
XH,DR08,HHZ,2014-12-02 05:23:34.720,2014-12-02 05:23:39.580,2014-12-02 05:23:34.720,-5.44291517945e-09,acc,50.0,0.02,4329001,,,8.0,4.0
